2025-09-07 22:16:18,695 | INFO | CART | ADD | 307 | /add/10 | 
2025-09-07 22:18:57,924 | INFO | PAYMENT | SUCCESS | 809 | /checkout | 
2025-09-07 22:18:59,668 | INFO | PAYMENT | SUCCESS | 15000 | /checkout | Suspicious high-value transaction
2025-09-07 22:19:01,640 | INFO | PAYMENT | SUCCESS | 484 | /checkout | 
2025-09-07 22:19:02,164 | INFO | PAYMENT | SUCCESS | 134 | /checkout | 
2025-09-07 22:19:03,317 | INFO | CART | ADD | 213 | /add/4 | 
2025-09-07 22:19:05,394 | INFO | PAYMENT | FAILED | 255 | /checkout | Transaction declined
2025-09-07 22:19:06,790 | INFO | PAYMENT | SUCCESS | 511 | /checkout | 
2025-09-07 22:19:09,410 | INFO | PAYMENT | SUCCESS | 276 | /checkout | 
2025-09-07 22:19:11,449 | INFO | PAYMENT | SUCCESS | 555 | /checkout | 
2025-09-07 22:19:12,658 | INFO | CART | ADD | 861 | /add/10 | 
2025-09-07 22:19:13,806 | INFO | PAYMENT | SUCCESS | 768 | /checkout | 
2025-09-07 22:19:15,933 | INFO | CART | ADD | 50 | /add/1 | Unusually low amount - possible testing
2025-09-07 22:19:17,888 | INFO | CART | ADD | 520 | /add/8 | 
2025-09-07 22:19:19,825 | INFO | PAYMENT | SUCCESS | 536 | /checkout | 
2025-09-07 22:19:20,527 | INFO | PAYMENT | SUCCESS | 110 | /checkout | 
2025-09-07 22:19:23,356 | INFO | PAYMENT | SUCCESS | 249 | /checkout | 
2025-09-07 22:19:24,966 | INFO | PAYMENT | SUCCESS | 561 | /checkout | 
2025-09-07 22:19:26,613 | INFO | CART | ADD | 768 | /add/1 | 
2025-09-07 22:19:28,765 | INFO | CART | ADD | 399 | /add/1 | 
2025-09-07 22:19:29,766 | INFO | PAYMENT | SUCCESS | 15000 | /checkout | Suspicious high-value transaction
2025-09-07 22:19:32,469 | INFO | PAYMENT | FAILED | 99999 | /checkout | Possible fraud detected - unusually high amount
2025-09-07 22:19:35,325 | INFO | PAYMENT | SUCCESS | 841 | /checkout | 
2025-09-07 22:19:37,549 | INFO | CART | ADD | 899 | /add/3 | 
2025-09-07 22:19:38,734 | INFO | PAYMENT | FAILED | 579 | /checkout | Transaction declined
2025-09-07 22:19:39,930 | INFO | SECURITY | FAILED | 0 | /admin | Unauthorized access attempt
2025-09-07 22:19:41,867 | INFO | PAYMENT | SUCCESS | 887 | /checkout | 
2025-09-07 22:20:46,165 | INFO | PAYMENT | SUCCESS | 500 | /checkout | 
2025-09-07 22:20:47,569 | INFO | CART | ADD | 922 | /add/7 | 
2025-09-07 22:20:49,969 | INFO | PAYMENT | FAILED | 698 | /checkout | Transaction declined
2025-09-07 22:20:52,829 | INFO | CART | ADD | 544 | /add/11 | 
2025-09-07 22:20:53,549 | INFO | PAYMENT | SUCCESS | 989 | /checkout | 
2025-09-07 22:20:55,773 | INFO | PAYMENT | SUCCESS | 1000 | /checkout | 
2025-09-07 22:20:58,145 | INFO | PAYMENT | FAILED | 975 | /checkout | Transaction declined
2025-09-07 22:21:00,789 | INFO | PAYMENT | SUCCESS | 938 | /checkout | 
2025-09-07 22:21:01,780 | INFO | PAYMENT | SUCCESS | 283 | /checkout | 
2025-09-07 22:21:03,943 | INFO | PAYMENT | FAILED | 317 | /checkout | Transaction declined
2025-09-07 22:21:05,838 | INFO | PAYMENT | SUCCESS | 335 | /checkout | 
2025-09-07 22:21:08,605 | INFO | PAYMENT | SUCCESS | 407 | /checkout | 
2025-09-07 22:21:11,350 | INFO | PAYMENT | FAILED | 989 | /checkout | Transaction declined
2025-09-07 22:21:14,154 | INFO | PAYMENT | FAILED | 174 | /checkout | Transaction declined
2025-09-07 22:21:16,863 | INFO | PAYMENT | FAILED | 746 | /checkout | Transaction declined
2025-09-07 22:21:19,545 | INFO | PAYMENT | SUCCESS | 84 | /checkout | 
2025-09-07 22:21:21,314 | INFO | CART | ADD | 671 | /add/10 | 
2025-09-07 22:21:22,772 | INFO | PAYMENT | FAILED | 704 | /checkout | Transaction declined
2025-09-07 22:21:24,223 | INFO | PAYMENT | FAILED | 91 | /checkout | Transaction declined
2025-09-07 22:21:26,652 | INFO | PAYMENT | SUCCESS | 615 | /checkout | 
2025-09-07 22:21:28,115 | INFO | PAYMENT | SUCCESS | 948 | /checkout | 
2025-09-07 22:21:28,832 | INFO | CART | ADD | 984 | /add/1 | 
2025-09-07 22:21:30,384 | INFO | SECURITY | FAILED | 0 | /login | FAILED LOGIN attempt user=admin
2025-09-07 22:21:32,156 | INFO | CART | ADD | 518 | /add/7 | 
2025-09-07 22:21:32,873 | INFO | CART | ADD | 205 | /add/3 | 
2025-09-07 22:21:35,286 | INFO | SECURITY | FAILED | 0 | /admin | Unauthorized access attempt
2025-09-07 22:21:37,362 | INFO | PAYMENT | SUCCESS | 993 | /checkout | 
2025-09-07 22:21:37,926 | INFO | PAYMENT | FAILED | 210 | /checkout | Transaction declined
2025-09-07 22:21:40,029 | INFO | PAYMENT | SUCCESS | 58 | /checkout | 
2025-09-07 22:21:41,873 | INFO | PAYMENT | SUCCESS | 685 | /checkout | 
2025-09-07 22:21:43,978 | INFO | PAYMENT | SUCCESS | 126 | /checkout | 
2025-09-07 22:21:44,708 | INFO | PAYMENT | FAILED | 260 | /checkout | Transaction declined
2025-09-07 22:21:45,605 | INFO | PAYMENT | FAILED | 194 | /checkout | Transaction declined
2025-09-07 22:21:46,338 | INFO | CART | ADD | 540 | /add/6 | 
2025-09-07 22:21:47,312 | INFO | CART | ADD | 50 | /add/1 | Unusually low amount - possible testing
2025-09-07 22:21:49,896 | INFO | PAYMENT | SUCCESS | 15000 | /checkout | Suspicious high-value transaction
2025-09-07 22:21:52,340 | INFO | PAYMENT | SUCCESS | 89 | /checkout | 
2025-09-07 22:21:53,227 | INFO | CART | ADD | 230 | /add/9 | 
2025-09-07 22:21:56,152 | INFO | PAYMENT | SUCCESS | 853 | /checkout | 
2025-09-07 22:21:58,653 | INFO | PAYMENT | SUCCESS | 128 | /checkout | 
2025-09-07 22:21:59,381 | INFO | CART | ADD | 390 | /add/11 | 
2025-09-07 22:22:00,557 | INFO | PAYMENT | SUCCESS | 682 | /checkout | 
2025-09-07 22:22:01,904 | INFO | PAYMENT | SUCCESS | 15000 | /checkout | Suspicious high-value transaction
2025-09-07 22:22:04,070 | INFO | PAYMENT | SUCCESS | 128 | /checkout | 
2025-09-07 22:22:06,733 | INFO | CART | ADD | 432 | /add/2 | 
2025-09-07 22:22:08,299 | INFO | PAYMENT | SUCCESS | 232 | /checkout | 
2025-09-07 22:22:11,289 | INFO | PAYMENT | SUCCESS | 95 | /checkout | 
2025-09-07 22:22:12,993 | INFO | PAYMENT | FAILED | 85 | /checkout | Transaction declined
2025-09-07 22:22:15,358 | INFO | PAYMENT | SUCCESS | 946 | /checkout | 
2025-09-07 22:22:16,759 | INFO | PAYMENT | SUCCESS | 695 | /checkout | 
2025-09-07 22:22:19,009 | INFO | PAYMENT | SUCCESS | 634 | /checkout | 
2025-09-07 22:22:19,731 | INFO | PAYMENT | FAILED | 252 | /checkout | Transaction declined
2025-09-07 22:22:22,012 | INFO | PAYMENT | FAILED | 329 | /checkout | Transaction declined
2025-09-07 22:22:23,952 | INFO | CART | ADD | 50 | /add/1 | Unusually low amount - possible testing
2025-09-07 22:22:26,785 | INFO | PAYMENT | FAILED | 99999 | /checkout | Possible fraud detected - unusually high amount
2025-09-07 22:29:19,849 | INFO | PAYMENT | FAILED | 390 | /checkout | Transaction declined
2025-09-07 22:29:21,245 | INFO | PAYMENT | SUCCESS | 565 | /checkout | 
2025-09-07 22:29:23,004 | INFO | SECURITY | FAILED | 0 | /admin | Unauthorized access attempt
2025-09-07 22:29:25,302 | INFO | PAYMENT | SUCCESS | 251 | /checkout | 
2025-09-07 22:29:25,945 | INFO | SECURITY | FAILED | 0 | /admin | Unauthorized access attempt
2025-09-07 22:29:28,648 | INFO | PAYMENT | SUCCESS | 986 | /checkout | 
2025-09-07 22:29:29,142 | INFO | CART | ADD | 1000 | /add/1 | 
2025-09-07 22:29:30,776 | INFO | SECURITY | FAILED | 0 | /search | SQL Injection attempt id=' OR '1'='1
2025-09-07 22:29:31,993 | INFO | PAYMENT | SUCCESS | 1500 | /checkout | 
2025-09-07 22:29:32,929 | INFO | CART | ADD | 258 | /add/3 | 
2025-09-07 22:29:35,070 | INFO | CART | ADD | 682 | /add/9 | 
2025-09-07 22:29:36,878 | INFO | PAYMENT | SUCCESS | 642 | /checkout | 
2025-09-07 22:29:38,726 | INFO | PAYMENT | SUCCESS | 852 | /checkout | 
2025-09-07 22:29:41,178 | INFO | SECURITY | FAILED | 0 | /login | FAILED LOGIN attempt user=admin
2025-09-07 22:29:43,852 | INFO | CART | ADD | 491 | /add/1 | 
2025-09-07 22:29:45,432 | INFO | CART | ADD | 251 | /add/2 | 
2025-09-07 22:29:46,407 | INFO | PAYMENT | SUCCESS | 909 | /checkout | 
2025-09-07 22:29:47,249 | INFO | CART | ADD | 548 | /add/8 | 
2025-09-07 22:29:48,072 | INFO | PAYMENT | SUCCESS | 663 | /checkout | 
2025-09-07 22:29:49,904 | INFO | PAYMENT | FAILED | 806 | /checkout | Transaction declined
2025-09-07 22:29:52,797 | INFO | CART | ADD | 885 | /add/11 | 
2025-09-07 22:29:55,233 | INFO | PAYMENT | FAILED | 737 | /checkout | Transaction declined
2025-09-07 22:29:55,735 | INFO | PAYMENT | SUCCESS | 986 | /checkout | 
2025-09-07 22:29:58,270 | INFO | PAYMENT | SUCCESS | 124 | /checkout | 
2025-09-07 22:29:59,616 | INFO | PAYMENT | SUCCESS | 971 | /checkout | 
2025-09-07 22:30:00,246 | INFO | PAYMENT | SUCCESS | 571 | /checkout | 
2025-09-07 22:30:00,749 | INFO | PAYMENT | FAILED | 987 | /checkout | Transaction declined
2025-09-07 22:30:02,592 | INFO | PAYMENT | SUCCESS | 715 | /checkout | 
2025-09-07 22:30:03,983 | INFO | CART | ADD | 322 | /add/8 | 
2025-09-07 22:30:04,940 | INFO | PAYMENT | SUCCESS | 727 | /checkout | 
2025-09-07 22:30:07,366 | INFO | PAYMENT | FAILED | 454 | /checkout | Transaction declined
2025-09-07 22:30:07,908 | INFO | PAYMENT | SUCCESS | 799 | /checkout | 
2025-09-07 22:30:10,167 | INFO | PAYMENT | SUCCESS | 812 | /checkout | 
2025-09-07 22:30:11,331 | INFO | PAYMENT | FAILED | 637 | /checkout | Transaction declined
2025-09-07 22:30:12,092 | INFO | PAYMENT | SUCCESS | 483 | /checkout | 
2025-09-07 22:30:12,757 | INFO | PAYMENT | FAILED | 156 | /checkout | Transaction declined
2025-09-07 22:30:13,519 | INFO | PAYMENT | FAILED | 293 | /checkout | Transaction declined
2025-09-07 22:30:14,132 | INFO | PAYMENT | SUCCESS | 659 | /checkout | 
2025-09-07 22:30:15,174 | INFO | PAYMENT | SUCCESS | 203 | /checkout | 
2025-09-07 22:30:16,336 | INFO | CART | ADD | 472 | /add/7 | 
2025-09-07 22:30:18,837 | INFO | SECURITY | FAILED | 0 | /admin | Unauthorized access attempt
2025-09-07 22:30:21,212 | INFO | PAYMENT | SUCCESS | 147 | /checkout | 
2025-09-07 22:30:23,102 | INFO | SECURITY | FAILED | 0 | /search | SQL Injection attempt id=' OR '1'='1
2025-09-07 22:30:24,531 | INFO | PAYMENT | SUCCESS | 163 | /checkout | 
2025-09-07 22:30:26,887 | INFO | PAYMENT | SUCCESS | 84 | /checkout | 
2025-09-07 22:30:28,480 | INFO | PAYMENT | SUCCESS | 162 | /checkout | 
2025-09-07 22:30:29,632 | INFO | CART | ADD | 50 | /add/1 | Unusually low amount - possible testing
2025-09-07 22:30:30,978 | INFO | PAYMENT | SUCCESS | 954 | /checkout | 
2025-09-07 22:30:32,228 | INFO | PAYMENT | SUCCESS | 464 | /checkout | 
2025-09-07 22:30:34,897 | INFO | PAYMENT | SUCCESS | 305 | /checkout | 
2025-09-07 22:30:36,803 | INFO | CART | ADD | 270 | /add/9 | 
2025-09-07 22:30:39,339 | INFO | CART | ADD | 682 | /add/6 | 
2025-09-07 22:30:39,966 | INFO | PAYMENT | SUCCESS | 399 | /checkout | 
2025-09-07 22:30:40,924 | INFO | PAYMENT | FAILED | 99999 | /checkout | Possible fraud detected - unusually high amount
2025-09-07 22:30:43,394 | INFO | PAYMENT | FAILED | 787 | /checkout | Transaction declined
2025-09-07 22:30:45,987 | INFO | CART | ADD | 257 | /add/1 | 
2025-09-07 22:30:47,952 | INFO | PAYMENT | SUCCESS | 118 | /checkout | 
2025-09-07 22:30:50,798 | INFO | PAYMENT | SUCCESS | 972 | /checkout | 
2025-09-07 22:30:52,368 | INFO | PAYMENT | SUCCESS | 131 | /checkout | 
2025-09-07 22:30:53,960 | INFO | PAYMENT | SUCCESS | 202 | /checkout | 
2025-09-07 22:30:55,281 | INFO | CART | ADD | 505 | /add/3 | 
2025-09-07 22:30:57,608 | INFO | PAYMENT | FAILED | 481 | /checkout | Transaction declined
2025-09-07 22:30:59,534 | INFO | PAYMENT | FAILED | 904 | /checkout | Transaction declined
2025-09-07 22:31:00,580 | INFO | PAYMENT | SUCCESS | 272 | /checkout | 
2025-09-07 22:31:02,124 | INFO | CART | ADD | 854 | /add/9 | 
2025-09-07 22:31:03,731 | INFO | PAYMENT | SUCCESS | 90 | /checkout | 
2025-09-07 22:31:06,199 | INFO | PAYMENT | SUCCESS | 618 | /checkout | 
2025-09-07 22:31:09,048 | INFO | PAYMENT | FAILED | 62 | /checkout | Transaction declined
2025-09-07 22:31:09,680 | INFO | CART | ADD | 286 | /add/1 | 
2025-09-07 22:31:11,415 | INFO | CART | ADD | 308 | /add/9 | 
2025-09-07 22:31:12,697 | INFO | PAYMENT | SUCCESS | 362 | /checkout | 
2025-09-07 22:31:14,826 | INFO | PAYMENT | SUCCESS | 652 | /checkout | 
2025-09-07 22:31:15,612 | INFO | PAYMENT | FAILED | 351 | /checkout | Transaction declined
2025-09-07 22:31:18,253 | INFO | PAYMENT | FAILED | 892 | /checkout | Transaction declined
2025-09-07 22:31:19,115 | INFO | PAYMENT | FAILED | 639 | /checkout | Transaction declined
2025-09-07 22:31:20,900 | INFO | PAYMENT | FAILED | 924 | /checkout | Transaction declined
2025-09-07 22:31:23,515 | INFO | PAYMENT | SUCCESS | 587 | /checkout | 
2025-09-07 22:31:24,890 | INFO | PAYMENT | SUCCESS | 337 | /checkout | 
2025-09-07 22:31:27,396 | INFO | PAYMENT | SUCCESS | 315 | /checkout | 
2025-09-07 22:31:28,402 | INFO | CART | ADD | 303 | /add/6 | 
2025-09-07 22:31:30,710 | INFO | PAYMENT | SUCCESS | 698 | /checkout | 
2025-09-07 22:31:32,590 | INFO | PAYMENT | SUCCESS | 102 | /checkout | 
2025-09-07 22:31:35,375 | INFO | PAYMENT | FAILED | 183 | /checkout | Transaction declined
2025-09-07 22:31:36,740 | INFO | PAYMENT | SUCCESS | 82 | /checkout | 
2025-09-07 22:31:37,840 | INFO | PAYMENT | FAILED | 101 | /checkout | Transaction declined
2025-09-07 22:31:38,574 | INFO | PAYMENT | SUCCESS | 509 | /checkout | 
2025-09-07 22:31:40,389 | INFO | PAYMENT | SUCCESS | 774 | /checkout | 
2025-09-07 22:31:41,939 | INFO | PAYMENT | FAILED | 107 | /checkout | Transaction declined
2025-09-07 22:31:42,696 | INFO | PAYMENT | SUCCESS | 583 | /checkout | 
2025-09-07 22:31:44,769 | INFO | PAYMENT | FAILED | 222 | /checkout | Transaction declined
2025-09-07 22:31:47,478 | INFO | SECURITY | FAILED | 0 | /login | FAILED LOGIN attempt user=admin
2025-09-07 22:31:48,386 | INFO | PAYMENT | SUCCESS | 868 | /checkout | 
2025-09-07 22:31:49,568 | INFO | PAYMENT | FAILED | 99999 | /checkout | Possible fraud detected - unusually high amount
2025-09-07 22:31:51,736 | INFO | PAYMENT | SUCCESS | 15000 | /checkout | Suspicious high-value transaction
2025-09-07 22:31:54,327 | INFO | PAYMENT | FAILED | 550 | /checkout | Transaction declined
2025-09-07 22:31:55,374 | INFO | PAYMENT | FAILED | 977 | /checkout | Transaction declined
2025-09-07 22:31:57,426 | INFO | PAYMENT | FAILED | 707 | /checkout | Transaction declined
2025-09-07 22:31:58,814 | INFO | CART | ADD | 832 | /add/1 | 
2025-09-07 22:32:00,103 | INFO | CART | ADD | 50 | /add/1 | Unusually low amount - possible testing
2025-09-07 22:32:00,669 | INFO | PAYMENT | SUCCESS | 523 | /checkout | 
2025-09-07 22:32:01,701 | INFO | CART | ADD | 525 | /add/5 | 
2025-09-07 22:32:03,537 | INFO | PAYMENT | FAILED | 270 | /checkout | Transaction declined
2025-09-07 22:32:05,698 | INFO | PAYMENT | SUCCESS | 608 | /checkout | 
2025-09-07 22:32:08,463 | INFO | PAYMENT | SUCCESS | 134 | /checkout | 
2025-09-07 22:32:08,982 | INFO | PAYMENT | FAILED | 967 | /checkout | Transaction declined
2025-09-07 22:32:11,826 | INFO | PAYMENT | SUCCESS | 592 | /checkout | 
2025-09-07 22:32:12,807 | INFO | PAYMENT | SUCCESS | 241 | /checkout | 
2025-09-07 22:32:13,449 | INFO | PAYMENT | FAILED | 492 | /checkout | Transaction declined
2025-09-07 22:32:16,064 | INFO | PAYMENT | SUCCESS | 117 | /checkout | 
2025-09-07 22:32:18,174 | INFO | CART | ADD | 622 | /add/9 | 
2025-09-07 22:32:20,215 | INFO | PAYMENT | SUCCESS | 757 | /checkout | 
2025-09-07 22:32:22,603 | INFO | PAYMENT | SUCCESS | 832 | /checkout | 
2025-09-07 22:32:25,089 | INFO | PAYMENT | FAILED | 874 | /checkout | Transaction declined
2025-09-07 22:32:27,354 | INFO | CART | ADD | 299 | /add/4 | 
2025-09-07 22:32:29,911 | INFO | SECURITY | FAILED | 0 | /admin | Unauthorized access attempt
2025-09-07 22:32:31,125 | INFO | PAYMENT | SUCCESS | 570 | /checkout | 
2025-09-07 22:32:33,490 | INFO | PAYMENT | FAILED | 113 | /checkout | Transaction declined
2025-09-07 22:32:36,067 | INFO | PAYMENT | FAILED | 909 | /checkout | Transaction declined
2025-09-07 22:32:37,065 | INFO | PAYMENT | SUCCESS | 847 | /checkout | 
2025-09-07 22:32:38,564 | INFO | PAYMENT | FAILED | 249 | /checkout | Transaction declined
2025-09-07 22:32:41,391 | INFO | PAYMENT | SUCCESS | 692 | /checkout | 
2025-09-07 22:32:44,103 | INFO | PAYMENT | SUCCESS | 965 | /checkout | 
2025-09-07 22:32:45,276 | INFO | CART | ADD | 819 | /add/7 | 
2025-09-07 22:32:46,210 | INFO | PAYMENT | FAILED | 357 | /checkout | Transaction declined
2025-09-07 22:32:48,781 | INFO | PAYMENT | SUCCESS | 734 | /checkout | 
2025-09-07 22:32:50,324 | INFO | PAYMENT | SUCCESS | 718 | /checkout | 
2025-09-07 22:32:52,825 | INFO | CART | ADD | 901 | /add/5 | 
2025-09-07 22:32:54,336 | INFO | CART | ADD | 411 | /add/3 | 
2025-09-07 22:32:55,537 | INFO | PAYMENT | SUCCESS | 587 | /checkout | 
2025-09-07 22:32:58,300 | INFO | PAYMENT | SUCCESS | 375 | /checkout | 
2025-09-07 22:32:59,651 | INFO | PAYMENT | SUCCESS | 200 | /checkout | 
2025-09-07 22:33:02,174 | INFO | CART | ADD | 207 | /add/3 | 
2025-09-07 22:33:03,915 | INFO | PAYMENT | SUCCESS | 684 | /checkout | 
2025-09-07 22:33:04,854 | INFO | PAYMENT | SUCCESS | 990 | /checkout | 
2025-09-07 22:33:06,772 | INFO | PAYMENT | FAILED | 99999 | /checkout | Possible fraud detected - unusually high amount
